"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Brunei Darussalam","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Bulgaria","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Bulgaria","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Bulgaria","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","Bulgaria","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Africa","Cameroon","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Cameroon","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Cameroon","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Cameroon","Yes but not publically available","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Chad","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Chad","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Chad","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Americas","Chile","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Comoros","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Comoros","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Americas","Costa Rica","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Americas","Costa Rica","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Cyprus","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","Cyprus","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Czechia","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Czechia","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Americas","Dominica","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Americas","Dominican Republic","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Americas","Dominican Republic","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Americas","Dominican Republic","Yes","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Estonia","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Estonia","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Estonia","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","Estonia","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","France","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","France","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","France","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","France","Yes","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Africa","Gabon","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Germany","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Africa","Ghana","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Ghana","Recommendation only","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Ghana","Yes","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Africa","Guinea-Bissau","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Guinea-Bissau","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Guinea-Bissau","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Guinea-Bissau","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Hungary","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Hungary","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","Hungary","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Iceland","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Ireland","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","Ireland","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Israel","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Israel","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Japan","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Eastern Mediterranean","Jordan","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Eastern Mediterranean","Jordan","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Eastern Mediterranean","Jordan","Yes","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Western Pacific","Lao People's Democratic Republic","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Western Pacific","Lao People's Democratic Republic","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Western Pacific","Lao People's Democratic Republic","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Lao People's Democratic Republic","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Eastern Mediterranean","Libya","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Eastern Mediterranean","Libya","Recommendation only","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Eastern Mediterranean","Libya","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Eastern Mediterranean","Libya","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Lithuania","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Western Pacific","Malaysia","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Western Pacific","Malaysia","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Malaysia","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","South-East Asia","Maldives","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Western Pacific","Marshall Islands","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Marshall Islands","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Africa","Mauritania","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Mauritania","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Western Pacific","Micronesia (Federated States of)","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Micronesia (Federated States of)","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Monaco","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Monaco","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Monaco","Yes","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Africa","Mozambique","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Mozambique","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Mozambique","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Mozambique","Yes but not publically available","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","South-East Asia","Nepal","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","South-East Asia","Nepal","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Netherlands (Kingdom of the)","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Netherlands (Kingdom of the)","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Niger","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Norway","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Norway","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Norway","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Americas","Panama","Yes","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Western Pacific","Papua New Guinea","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Western Pacific","Papua New Guinea","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Papua New Guinea","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Americas","Paraguay","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Poland","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Poland","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","Poland","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Portugal","Yes","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Russian Federation","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Russian Federation","Recommendation only","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Russian Federation","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Europe","Russian Federation","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Western Pacific","Samoa","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Western Pacific","Samoa","Recommendation only","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Western Pacific","Samoa","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Samoa","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","San Marino","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Senegal","Recommendation only","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Senegal","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Senegal","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Serbia","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Western Pacific","Singapore","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Singapore","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Slovakia","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Slovakia","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","South Africa","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Spain","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Spain","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Spain","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Americas","Suriname","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Africa","Eswatini","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Eswatini","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Eswatini","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Eswatini","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Western Pacific","Tonga","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Western Pacific","Tonga","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Western Pacific","Tonga","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Western Pacific","Tonga","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Uganda","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Uganda","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Uganda","Yes but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Europe","Ukraine","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Americas","Uruguay","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Americas","Uruguay","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Americas","Uruguay","No","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2010","Western Pacific","Vanuatu","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Western Pacific","Vanuatu","No","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Zimbabwe","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Zimbabwe","Yes","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Eastern Mediterranean","Afghanistan","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Albania","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","South-East Asia","Bhutan","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Bolivia (Plurinational State of)","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Bosnia and Herzegovina","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Brazil","For specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","Comoros","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Costa Rica","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","Cote d'Ivoire","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Croatia","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Western Pacific","Fiji","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Finland","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","France","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","Gabon","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","Gambia","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Ireland","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Israel","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Italy","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Jamaica","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Western Pacific","Malaysia","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","South-East Asia","Maldives","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","Mali","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Malta","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","South-East Asia","Nepal","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Netherlands (Kingdom of the)","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Western Pacific","New Zealand","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Nicaragua","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","Niger","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Romania","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Russian Federation","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Saint Kitts and Nevis","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Saint Lucia","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","South Africa","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Europe","Spain","No list available","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","South-East Asia","Sri Lanka","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Eastern Mediterranean","Sudan","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Americas","Uruguay","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Western Pacific","Vanuatu","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Eastern Mediterranean","Yemen","For different healthcare facilities","0.00000","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2010","Africa","Zambia","For different healthcare facilities and specific procedures","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Belgium","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Belize","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Benin","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","South-East Asia","Bhutan","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Chad","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Chile","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Western Pacific","China","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Colombia","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","El Salvador","More than one list","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Eritrea","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Estonia","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Ethiopia","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Guyana","More than one list","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Haiti","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Honduras","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Hungary","Public health emergency situations ","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Iceland","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Latvia","Public health emergency situations ","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Eastern Mediterranean","Lebanon","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Liberia","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Eastern Mediterranean","Libya","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Western Pacific","Mongolia","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Montenegro","More than one list","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Eastern Mediterranean","Morocco","More than one list","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Mozambique","More than one list","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Paraguay","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Peru","More than one list","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Western Pacific","Philippines","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Poland","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Senegal","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Serbia","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Seychelles","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Africa","Sierra Leone","Public health emergency situations ","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Western Pacific","Tonga","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Americas","Trinidad and Tobago","Non-communicable high burden diseases","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Eastern Mediterranean","Tunisia","No list available","0.00000","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2010","Europe","Turkiye","More than one list","0.00000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Africa","Malawi","0.49","0.49000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Europe","Tajikistan","24.73","24.73000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Africa","Seychelles","21.96","21.96000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","South-East Asia","Democratic People's Republic of Korea","4","4.00000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Americas","Ecuador","0.2","0.20000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Kazakhstan","1.4","1.40000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Western Pacific","Republic of Korea","0.57","0.57000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Malawi","0.15","0.15000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Tajikistan","1.92","1.92000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Americas","Ecuador","1.73","1.73000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Europe","Kazakhstan","1.5","1.50000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Malawi","0.34","0.34000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Republic of Korea","36.17","36.17000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Europe","Kazakhstan","0.44","0.44000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Malawi","0","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Western Pacific","Republic of Korea","2.86","2.86000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Europe","Tajikistan","0","0.00000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Radiotherapy units","Published","2010","Africa","Malawi","0","0.00000","","","","",""
"Total density per million population: Radiotherapy units","Published","2010","Western Pacific","Republic of Korea","3.07","3.07000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Radiotherapy units","Published","2010","Europe","Tajikistan","0.15","0.15000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Radiotherapy units","Published","2010","Western Pacific","Viet Nam","0.38","0.38000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Type of nomenclature system","Published","2010","South-East Asia","Democratic People's Republic of Korea","Nationally developed","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Americas","Ecuador","None","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Europe","Kazakhstan","Nationally developed","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Western Pacific","Republic of Korea","Nationally developed","0.00000","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2010","Africa","Congo","Yes","0.00000","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2010","South-East Asia","Democratic People's Republic of Korea","Yes","0.00000","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2010","Americas","Ecuador","Yes","0.00000","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2010","Europe","Kazakhstan","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Africa","Congo","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","South-East Asia","Democratic People's Republic of Korea","Yes","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Americas","Ecuador","No","0.00000","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2010","Europe","Kazakhstan","Recommendation only","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Africa","Malawi","Yes","0.00000","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2010","Europe","Tajikistan","Yes","0.00000","","","","",""
