"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"New HIV infections (per 1000 uninfected population)","Published","2020","Western Pacific","Brunei Darussalam","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Europe","Cyprus","Female","0.01 [<0.01–0.02]","0.01000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Africa","Eswatini","Female","7.49 [6.43–8.35]","7.49000","6.43000","8.35000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Africa","Ghana","Female","0.94 [0.67–1.32]","0.94000","0.67000","1.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Europe","Hungary","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Europe","Lithuania","Female","0.03 [0.02–0.03]","0.03000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Africa","Madagascar","Female","0.41 [0.31–0.53]","0.41000","0.31000","0.53000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Americas","Mexico","Female","0.06 [0.05–0.07]","0.06000","0.05000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Africa","Niger","Female","0.06 [0.05–0.08]","0.06000","0.05000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Western Pacific","Papua New Guinea","Female","0.74 [0.63–0.9]","0.74000","0.63000","0.90000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Europe","Romania","Female","0.01 [<0.01–0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Africa","Rwanda","Female","0.34 [0.27–0.45]","0.34000","0.27000","0.45000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Europe","Sweden","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Americas","Trinidad and Tobago","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Americas","Antigua and Barbuda","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Europe","Belgium","Female","0.02 [0.01–0.03]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Africa","Cameroon","Female","0.82 [0.64–1.01]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Western Pacific","Cook Islands","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Europe","Estonia","Female","0.08 [0.06–0.11]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Americas","Guyana","Female","0.6 [0.47–0.81]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Europe","Ireland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Africa","Mali","Female","0.41 [0.25–0.59]","0.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Africa","Mozambique","Female","5.79 [4.84–6.8]","6.00000","5.00000","7.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Americas","Nicaragua","Female","0.05 [0.04–0.08]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Africa","Nigeria","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Eastern Mediterranean","Qatar","Female","0.02 [0.01–0.03]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Western Pacific","Samoa","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Western Pacific","Solomon Islands","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Europe","Ukraine","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Eastern Mediterranean","Yemen","Female","0.02 [0.02–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Western Pacific","Cambodia","Female","0.05 [0.05–0.06]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Americas","Canada","Female","0.03 [0.02–0.03]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Americas","Costa Rica","Female","0.04 [0.03–0.04]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Europe","Czechia","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Americas","El Salvador","Female","0.08 [0.07–0.1]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Africa","Gabon","Female","1.14 [0.64–2.32]","1.00000","1.00000","2.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Europe","Georgia","Female","0.08 [0.07–0.09]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Africa","Guinea-Bissau","Female","1.05 [0.79–1.42]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Europe","Kazakhstan","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Eastern Mediterranean","Lebanon","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Africa","Liberia","Female","0.35 [0.21–0.59]","0.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Europe","Malta","Female","0.04 [0.03–0.05]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","South-East Asia","Nepal","Female","0.02 [0.02–0.03]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Eastern Mediterranean","Oman","Female","0.02 [0.02–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Western Pacific","Palau","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Western Pacific","Republic of Korea","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Africa","Seychelles","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Europe","Spain","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Europe","United Kingdom of Great Britain and Northern Ireland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Africa","Togo","Female","0.55 [0.37–0.81]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Europe","Andorra","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Eastern Mediterranean","Bahrain","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Western Pacific","China","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","South-East Asia","Democratic People's Republic of Korea","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Western Pacific","Fiji","Female","0.17 [0.09–0.4]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Americas","Grenada","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","South-East Asia","India","Female","0 [0–0]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Eastern Mediterranean","Iran (Islamic Republic of)","Female","0.02 [0.02–0.04]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Western Pacific","Malaysia","Female","0.05 [0.04–0.05]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Europe","Monaco","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Americas","Peru","Female","0.07 [0.06–0.09]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Americas","Saint Lucia","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Africa","Sierra Leone","Female","0.73 [0.55–0.96]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Eastern Mediterranean","Syrian Arab Republic","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Europe","Turkiye","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Europe","Uzbekistan","Female","0.18 [0.15–0.2]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Americas","Venezuela (Bolivarian Republic of)","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","Benin","Female","0.32 [0.22–0.43]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Americas","Colombia","Female","0.05 [0.04–0.08]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Americas","Ecuador","Female","0.1 [0.08–0.12]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","Ethiopia","Female","0.21 [0.1–0.47]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Europe","Finland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Americas","Honduras","Female","0.03 [0.02–0.04]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Europe","Italy","Female","0.03 [0.02–0.04]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Eastern Mediterranean","Lebanon","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","Malawi","Female","2.64 [2.36–2.93]","3.00000","2.00000","3.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","Namibia","Female","5.14 [4.36–6.29]","5.00000","4.00000","6.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Europe","North Macedonia","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Americas","Saint Kitts and Nevis","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","Sao Tome and Principe","Female","0.16 [0.11–0.25]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","South Africa","Female","6.73 [4.73–9.58]","7.00000","5.00000","10.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Europe","Tajikistan","Female","0.1 [0.09–0.11]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","United Republic of Tanzania","Female","2.32 [1.99–2.67]","2.00000","2.00000","3.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","Zimbabwe","Female","3.84 [2.74–5.27]","4.00000","3.00000","5.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Western Pacific","Australia","Female","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Western Pacific","Brunei Darussalam","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Canada","Female","0.03 [0.02–0.03]","0.03000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Chad","Female","0.55 [0.42–0.72]","0.55000","0.42000","0.72000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Eritrea","Female","0.13 [0.08–0.23]","0.13000","0.08000","0.23000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Ghana","Female","1.06 [0.86–1.35]","1.06000","0.86000","1.35000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Haiti","Female","0.88 [0.74–1.09]","0.88000","0.74000","1.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Hungary","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Jamaica","Female","0.49 [0.42–0.59]","0.49000","0.42000","0.59000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Western Pacific","Kiribati","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Lithuania","Female","0.04 [0.03–0.04]","0.04000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Mauritania","Female","0.1 [0.06–0.16]","0.10000","0.06000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Mexico","Female","0.06 [0.05–0.07]","0.06000","0.05000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Western Pacific","Papua New Guinea","Female","0.47 [0.4–0.55]","0.47000","0.40000","0.55000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Romania","Female","0.02 [0.02–0.02]","0.02000","0.02000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Eastern Mediterranean","Saudi Arabia","Female","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Eastern Mediterranean","Sudan","Female","0.07 [0.06–0.09]","0.07000","0.06000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Trinidad and Tobago","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","United States of America","Female","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Antigua and Barbuda","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Cook Islands","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Denmark","Female","0.02 [0.01–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Guinea","Female","0.91 [0.71–1.11]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Ireland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Eastern Mediterranean","Kuwait","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Mali","Female","0.53 [0.36–0.73]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Montenegro","Female","<0.01 [<0.01–0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Nigeria","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Samoa","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Slovakia","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Suriname","Female","0.54 [0.41–0.74]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Venezuela (Bolivarian Republic of)","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Eastern Mediterranean","Yemen","Female","0.02 [0.02–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Bahamas","Female","0.26 [0.2–0.32]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Bolivia (Plurinational State of)","Female","0.11 [0.09–0.14]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","El Salvador","Female","0.1 [0.08–0.12]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Finland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","Gabon","Female","1.67 [1.13–2.58]","2.00000","1.00000","3.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","Guinea-Bissau","Female","1.48 [1.18–1.89]","1.00000","1.00000","2.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Western Pacific","Japan","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","Liberia","Female","0.6 [0.47–0.85]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","South-East Asia","Maldives","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Malta","Female","0.03 [0.03–0.05]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","South-East Asia","Nepal","Female","0.05 [0.04–0.05]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","Oman","Female","0.02 [0.02–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Portugal","Female","0.07 [0.06–0.08]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Western Pacific","Republic of Korea","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","South Africa","Female","8.47 [5.84–11.89]","8.00000","6.00000","12.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Spain","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Uruguay","Female","0.15 [0.13–0.17]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Albania","Female","0.02 [0.02–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Eastern Mediterranean","Bahrain","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Bosnia and Herzegovina","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Burkina Faso","Female","0.33 [0.25–0.45]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Western Pacific","China","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","South-East Asia","Democratic People's Republic of Korea","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Grenada","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","South-East Asia","India","Female","0 [0–0]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Madagascar","Female","0.27 [0.23–0.31]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Mexico","Female","0.06 [0.06–0.07]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Monaco","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Netherlands (Kingdom of the)","Female","0.02 [0.02–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Peru","Female","0.05 [0.04–0.07]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Rwanda","Female","1.08 [0.98–1.32]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Turkiye","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Armenia","Female","0.08 [0.06–0.1]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Benin","Female","0.53 [0.4–0.68]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Burundi","Female","0.47 [0.37–0.61]","0.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Cote d'Ivoire","Female","1.38 [1.07–1.77]","1.00000","1.00000","2.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Americas","Dominica","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Finland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Greece","Female","0.03 [0.03–0.03]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Italy","Female","0.04 [0.03–0.04]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Western Pacific","Lao People's Democratic Republic","Female","0.14 [0.12–0.16]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Western Pacific","Micronesia (Federated States of)","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Mozambique","Female","8.33 [7.53–9.41]","8.00000","8.00000","9.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Nigeria","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","North Macedonia","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Western Pacific","Philippines","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Sao Tome and Principe","Female","0.32 [0.23–0.46]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Switzerland","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Zimbabwe","Female","6.47 [4.61–8.88]","6.00000","5.00000","9.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Western Pacific","Australia","Female","0.01 [<0.01–0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Belize","Female","0.53 [0.47–0.58]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Botswana","Female","8.32 [7.71–9.01]","8.00000","8.00000","9.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Chad","Female","0.7 [0.56–0.89]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Croatia","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Dominican Republic","Female","0.37 [0.28–0.49]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Eritrea","Female","0.27 [0.18–0.4]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Georgia","Female","0.09 [0.08–0.09]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Haiti","Female","0.89 [0.76–1.07]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Hungary","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Lithuania","Female","0.03 [0.03–0.04]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Mauritania","Female","0.14 [0.11–0.19]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Western Pacific","Palau","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Romania","Female","0.03 [0.03–0.04]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Eastern Mediterranean","Saudi Arabia","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Eastern Mediterranean","Sudan","Female","0.08 [0.07–0.1]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Togo","Female","1.19 [0.94–1.55]","1.00000","1.00000","2.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Antigua and Barbuda","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Barbados","Female","0.25 [0.21–0.29]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Brazil","Female","0.18 [0.17–0.2]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Africa","Comoros","Female","0.02 [<0.01–0.05]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Denmark","Female","0.02 [0.01–0.02]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Estonia","Female","0.22 [0.18–0.25]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Africa","Guinea","Female","1.01 [0.83–1.21]","1.00000","1.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Eastern Mediterranean","Iran (Islamic Republic of)","Female","0.03 [0.02–0.05]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Eastern Mediterranean","Kuwait","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Montenegro","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Nicaragua","Female","0.09 [0.07–0.11]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Panama","Female","0.2 [0.18–0.22]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Poland","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Slovakia","Female","<0.01 [<0.01–<0.01]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","South-East Asia","Thailand","Female","0.2 [0.18–0.22]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Western Pacific","Tuvalu","Female","... [...–...]","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2008","Africa","Angola","Female","1.54 [1.3–1.84]","2.00000","1.00000","2.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2008","Americas","Bolivia (Plurinational State of)","Female","0.13 [0.1–0.16]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2008","Western Pacific","Cambodia","Female","0.22 [0.19–0.24]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2008","Africa","Democratic Republic of the Congo","Female","0.59 [0.47–0.72]","1.00000","0.00000","1.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2008","Americas","Ecuador","Female","0.12 [0.1–0.15]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2008","Africa","Gabon","Female","2.73 [2.01–3.63]","3.00000","2.00000","4.00000","","",""
